Payment Date,Amount,Organisational Unit,Beneficiary Name,Company Number,Charity Number
2015-07-20,1028.20,Adult Services,HANDICARE ACCESSIBILITY LTD,,
2015-07-06,1055.00,Adult Services,HANDICARE ACCESSIBILITY LTD,,
2015-08-07,1140.00,Adult Services,HANDICARE ACCESSIBILITY LTD,,
2015-07-03,1500.00,Adult Services,HANDICARE ACCESSIBILITY LTD,,
2015-09-24,1660.00,Adult Services,HANDICARE ACCESSIBILITY LTD,,
2015-08-06,1740.00,Adult Services,HANDICARE ACCESSIBILITY LTD,,
2015-09-02,1845.00,Adult Services,HANDICARE ACCESSIBILITY LTD,,
2015-07-24,2025.00,Adult Services,HANDICARE ACCESSIBILITY LTD,,
2015-07-01,2125.00,Adult Services,HANDICARE ACCESSIBILITY LTD,,
2015-09-24,2760.00,Adult Services,HANDICARE ACCESSIBILITY LTD,,
2015-07-02,650.00,Adult Services,NORTHERN INSTALLATION SERVICES LTD,,
2015-08-18,650.00,Adult Services,NORTHERN INSTALLATION SERVICES LTD,,
2015-08-03,860.00,Adult Services,NORTHERN INSTALLATION SERVICES LTD,,
2015-08-18,870.00,Adult Services,NORTHERN INSTALLATION SERVICES LTD,,
2015-07-02,3074.00,Adult Services,NORTHERN INSTALLATION SERVICES LTD,,
2015-07-17,3474.00,Adult Services,NORTHERN INSTALLATION SERVICES LTD,,
2015-09-30,833.56,Adult Services,ALERT -IT CARE ALARMS,,
2015-09-30,1467.38,Adult Services,ALERT -IT CARE ALARMS,,
2015-07-14,3148.66,Adult Services,ALERT -IT CARE ALARMS,,
2015-07-16,540.00,Property & Asset Management,BUDDI LIMITED,,
2015-07-27,979.17,Adult Services,WESSEX LIFT CO. LIMITED,,
2015-07-14,1581.95,Adult Services,WESSEX LIFT CO. LIMITED,,
2015-09-08,1614.02,Adult Services,WESSEX LIFT CO. LIMITED,,
2015-08-18,2524.30,Adult Services,WESSEX LIFT CO. LIMITED,,
2015-07-14,2772.90,Adult Services,WESSEX LIFT CO. LIMITED,,
2015-07-14,3039.67,Adult Services,WESSEX LIFT CO. LIMITED,,
2015-07-27,4017.92,Adult Services,WESSEX LIFT CO. LIMITED,,
2015-09-08,4153.77,Adult Services,WESSEX LIFT CO. LIMITED,,
2015-07-14,4818.08,Adult Services,WESSEX LIFT CO. LIMITED,,
2015-08-18,5475.11,Adult Services,WESSEX LIFT CO. LIMITED,,
2015-09-08,685.75,Adult Services,CHILTERN INVADEX (UK) LTD,,
2015-09-30,1276.00,Adult Services,INDEPENDENT LIVING SUPPLIES,,
2015-08-19,800.00,Adult Services,CHEVIN HOUSING ASSOCIATION,,
2015-08-19,2400.00,Adult Services,CHEVIN HOUSING ASSOCIATION,,
2015-08-19,2600.00,Adult Services,CHEVIN HOUSING ASSOCIATION,,
2015-08-19,2800.00,Adult Services,CHEVIN HOUSING ASSOCIATION,,
2015-09-14,4274.00,Children and Young People,DETAILS REDACTED,,
2015-09-21,1243.87,Children and Young People,DETAILS REDACTED,,
2015-09-21,1243.87,Children and Young People,DETAILS REDACTED,,
2015-09-21,1249.24,Children and Young People,DETAILS REDACTED,,
2015-08-10,800.00,Children and Young People,DETAILS REDACTED,,
2015-09-14,523.56,Children and Young People,DETAILS REDACTED,,
2015-07-17,1569.40,Adult Services,THERAPY IN PRAXIS LTD,,
2015-07-17,738.79,Professional Services,JOHN H PICKUP & CO,,
2015-09-29,2737.34,Business Services,TMP (UK) LTD,,
2015-07-08,504.36,Business Services,TMP (UK) LTD,,
2015-07-08,504.36,Business Services,TMP (UK) LTD,,
2015-07-08,596.23,Business Services,TMP (UK) LTD,,
2015-07-23,895.00,Property & Asset Management,DS SIGNS LTD,,
2015-07-30,2513.00,Business Services,EXTERION MEDIA,,
2015-09-14,595.00,"Economic Growth, Culture & Sport",HITCHED LIMITED,,
2015-09-01,1225.00,Business Services,TMP (UK) LTD,,
2015-07-01,665.00,Business Services,TMP (UK) LTD,,
2015-07-13,4622.00,Business Services,EXTERION MEDIA,,
2015-07-21,1820.00,ICT,ELONEX DIGITAL MALLS,,
2015-09-25,1508.40,Business Services,JOHNSTON PUBLISHING,,
2015-08-18,1683.64,Business Services,JOHNSTON PUBLISHING,,
2015-09-30,1810.08,Business Services,JOHNSTON PUBLISHING,,
2015-07-14,500.00,Business Services,JOHNSTON PUBLISHING,,
2015-07-10,700.00,Business Services,JOHNSTON PUBLISHING,,
2015-09-22,3150.00,Business Services,RIDINGS FM,,
2015-08-27,4060.00,Business Services,RIDINGS FM,,
2015-07-14,530.00,Business Services,RIDINGS FM,,
2015-07-14,500.00,Professional Services,HEMMING GROUP LTD,,
2015-09-07,810.00,Business Services,HAYMARKET MEDIA GROUP LTD,,
2015-09-16,1227.50,Business Services,TMP (UK) LTD,,
2015-07-01,1227.50,Business Services,TMP (UK) LTD,,
2015-07-14,600.00,Business Services,BLUEBERRY MARKETING SOLUTIONS,,
2015-09-30,825.00,Business Services,BLUEBERRY MARKETING SOLUTIONS,,
2015-07-17,2171.22,Business Services,COMMUNICORP UK LIMITED,,
2015-07-28,14529.90,Adult Services,TOGETHER,,
2015-08-11,43000.00,n/a,SHEFFIELD CITY COUNCIL,,
2015-07-02,18000.00,n/a,YORK COUNCIL,,
2015-07-29,750.00,Children and Young People,ADOPTION MATTERS NORTHWEST,,
2015-09-08,750.00,Children and Young People,ADOPTION MATTERS NORTHWEST,,
2015-07-17,18000.00,Children and Young People,ADOPTION MATTERS NORTHWEST,,
2015-08-28,28667.00,Children and Young People,ADOPTION MATTERS NORTHWEST,,
2015-09-25,1290.48,Children and Young People,PARENTS AND CHILDREN TOGETHER,,
2015-07-22,5001.00,Children and Young People,PARENTS AND CHILDREN TOGETHER,,
2015-09-16,9000.00,Children and Young People,ST FRANCIS CHILDRENS SOCIETY,,
2015-08-21,750.00,Children and Young People,FAMILIES FOR CHILDREN ADOPTION,,
2015-08-05,750.00,Children and Young People,FAMILIES FOR CHILDREN ADOPTION,,
2015-09-28,1282.32,Children and Young People,FAMILIES FOR CHILDREN ADOPTION,,
2015-07-01,5256.00,Children and Young People,CORAM,,
2015-09-22,28667.00,Business Services,CARITAS CARE LIMITED,,
2015-09-22,3583.00,Children and Young People,CCS ADOPTION,,
2015-07-22,28667.00,Children and Young People,CCS ADOPTION,,
2015-08-18,18000.00,n/a,DONCASTER CHILDREN\xB4S SERVICES TRUST,,
2015-07-15,664.43,Business Services,MATRIX SCM LTD,,
2015-09-02,1007.14,Business Services,MATRIX SCM LTD,,
2015-09-16,1007.14,Business Services,MATRIX SCM LTD,,
2015-09-02,676.98,Business Services,MATRIX SCM LTD,,
2015-09-02,531.54,Business Services,MATRIX SCM LTD,,
2015-09-23,1007.14,Business Services,MATRIX SCM LTD,,
2015-09-23,846.24,Business Services,MATRIX SCM LTD,,
2015-09-09,802.99,Business Services,MATRIX SCM LTD,,
2015-08-19,789.82,Business Services,MATRIX SCM LTD,,
2015-08-19,649.67,Business Services,MATRIX SCM LTD,,
2015-07-15,526.54,Business Services,MATRIX SCM LTD,,
2015-08-19,1007.14,Business Services,MATRIX SCM LTD,,
2015-07-29,1128.30,Business Services,MATRIX SCM LTD,,
2015-08-26,1007.14,Business Services,MATRIX SCM LTD,,
2015-08-26,1007.14,Business Services,MATRIX SCM LTD,,
2015-08-19,651.08,Business Services,MATRIX SCM LTD,,
2015-09-30,843.83,Business Services,MATRIX SCM LTD,,
2015-09-09,666.00,Business Services,MATRIX SCM LTD,,
2015-09-30,648.00,Business Services,MATRIX SCM LTD,,
2015-09-16,666.00,Business Services,MATRIX SCM LTD,,
2015-08-19,666.00,Business Services,MATRIX SCM LTD,,
2015-08-19,666.00,Business Services,MATRIX SCM LTD,,
2015-09-09,540.00,Business Services,MATRIX SCM LTD,,
2015-09-23,666.00,Business Services,MATRIX SCM LTD,,
2015-08-05,1007.14,Business Services,MATRIX SCM LTD,,
2015-09-02,639.00,Business Services,MATRIX SCM LTD,,
2015-08-05,666.00,Business Services,MATRIX SCM LTD,,
2015-07-22,666.00,Business Services,MATRIX SCM LTD,,
2015-09-16,666.00,Business Services,MATRIX SCM LTD,,
2015-08-19,666.00,Business Services,MATRIX SCM LTD,,
2015-09-16,666.00,Business Services,MATRIX SCM LTD,,
2015-09-09,666.00,Business Services,MATRIX SCM LTD,,
2015-09-02,971.63,Business Services,MATRIX SCM LTD,,
2015-09-02,816.60,Business Services,MATRIX SCM LTD,,
2015-07-15,585.64,Business Services,MATRIX SCM LTD,,
2015-07-15,979.92,Business Services,MATRIX SCM LTD,,
2015-09-16,802.99,Business Services,MATRIX SCM LTD,,
2015-09-16,911.87,Business Services,MATRIX SCM LTD,,
2015-09-16,798.60,Business Services,MATRIX SCM LTD,,
2015-08-05,984.94,Business Services,MATRIX SCM LTD,,
2015-07-22,598.84,Business Services,MATRIX SCM LTD,,
2015-08-12,925.48,Business Services,MATRIX SCM LTD,,
2015-08-05,1007.14,Business Services,MATRIX SCM LTD,,
2015-09-23,918.39,Business Services,MATRIX SCM LTD,,
2015-09-23,802.99,Business Services,MATRIX SCM LTD,,
2015-08-05,952.70,Business Services,MATRIX SCM LTD,,
2015-09-23,816.60,Business Services,MATRIX SCM LTD,,
2015-08-12,638.88,Business Services,MATRIX SCM LTD,,
2015-09-30,745.36,Business Services,MATRIX SCM LTD,,
2015-09-30,1007.14,Business Services,MATRIX SCM LTD,,
2015-08-12,612.45,Business Services,MATRIX SCM LTD,,
2015-09-30,857.43,Business Services,MATRIX SCM LTD,,
2015-07-29,984.94,Business Services,MATRIX SCM LTD,,
2015-08-19,958.32,Business Services,MATRIX SCM LTD,,
2015-07-22,771.98,Business Services,MATRIX SCM LTD,,
2015-08-26,966.31,Business Services,MATRIX SCM LTD,,
2015-07-22,1007.14,Business Services,MATRIX SCM LTD,,
2015-08-19,571.62,Business Services,MATRIX SCM LTD,,
2015-08-26,984.94,Business Services,MATRIX SCM LTD,,
2015-07-29,1007.14,Business Services,MATRIX SCM LTD,,
2015-08-26,979.92,Business Services,MATRIX SCM LTD,,
2015-07-29,816.60,Business Services,MATRIX SCM LTD,,
2015-09-09,802.99,Business Services,MATRIX SCM LTD,,
2015-08-19,857.43,Business Services,MATRIX SCM LTD,,
2015-07-08,762.16,Business Services,MATRIX SCM LTD,,
2015-09-02,1000.34,Business Services,MATRIX SCM LTD,,
2015-07-08,905.08,Business Services,MATRIX SCM LTD,,
2015-07-08,843.82,Business Services,MATRIX SCM LTD,,
2015-09-09,598.95,Business Services,MATRIX SCM LTD,,
2015-09-02,598.95,Business Services,MATRIX SCM LTD,,
2015-07-15,939.09,Business Services,MATRIX SCM LTD,,
2015-07-15,811.91,Business Services,MATRIX SCM LTD,,
2015-08-26,1143.24,Business Services,MATRIX SCM LTD,,
2015-08-26,598.96,Business Services,MATRIX SCM LTD,,
2015-07-08,798.60,Business Services,MATRIX SCM LTD,,
2015-08-19,598.95,Business Services,MATRIX SCM LTD,,
2015-07-08,1007.14,Business Services,MATRIX SCM LTD,,
2015-08-19,1007.14,Business Services,MATRIX SCM LTD,,
2015-07-08,805.26,Business Services,MATRIX SCM LTD,,
2015-07-08,825.23,Business Services,MATRIX SCM LTD,,
2015-08-12,1007.14,Business Services,MATRIX SCM LTD,,
2015-09-23,798.61,Business Services,MATRIX SCM LTD,,
2015-07-08,939.09,Business Services,MATRIX SCM LTD,,
2015-09-09,598.95,Business Services,MATRIX SCM LTD,,
2015-07-08,1007.14,Business Services,MATRIX SCM LTD,,
2015-07-29,811.92,Business Services,MATRIX SCM LTD,,
2015-07-15,1007.14,Business Services,MATRIX SCM LTD,,
2015-08-05,798.60,Business Services,MATRIX SCM LTD,,
2015-08-12,811.91,Business Services,MATRIX SCM LTD,,
2015-08-05,1007.14,Business Services,MATRIX SCM LTD,,
2015-08-12,1007.14,Business Services,MATRIX SCM LTD,,
2015-07-15,811.91,Business Services,MATRIX SCM LTD,,
2015-07-29,1007.14,Business Services,MATRIX SCM LTD,,
2015-09-16,1007.14,Business Services,MATRIX SCM LTD,,
2015-07-29,1007.14,Business Services,MATRIX SCM LTD,,
2015-08-19,843.82,Business Services,MATRIX SCM LTD,,
2015-09-16,1007.14,Business Services,MATRIX SCM LTD,,
2015-09-02,816.60,Business Services,MATRIX SCM LTD,,
2015-09-09,802.99,Business Services,MATRIX SCM LTD,,
2015-07-08,1007.14,Business Services,MATRIX SCM LTD,,
2015-09-02,952.70,Business Services,MATRIX SCM LTD,,
2015-09-09,802.99,Business Services,MATRIX SCM LTD,,
2015-09-09,816.60,Business Services,MATRIX SCM LTD,,
2015-07-08,1007.14,Business Services,MATRIX SCM LTD,,
2015-07-08,843.82,Business Services,MATRIX SCM LTD,,
2015-09-02,1007.14,Business Services,MATRIX SCM LTD,,
2015-09-09,871.04,Business Services,MATRIX SCM LTD,,
2015-07-15,1007.14,Business Services,MATRIX SCM LTD,,
2015-08-12,1007.14,Business Services,MATRIX SCM LTD,,
2015-09-23,1007.14,Business Services,MATRIX SCM LTD,,
2015-08-05,1007.14,Business Services,MATRIX SCM LTD,,
2015-07-15,1007.14,Business Services,MATRIX SCM LTD,,
2015-07-15,1007.14,Business Services,MATRIX SCM LTD,,
2015-09-23,1007.14,Business Services,MATRIX SCM LTD,,
2015-08-05,1007.14,Business Services,MATRIX SCM LTD,,
2015-08-05,1007.14,Business Services,MATRIX SCM LTD,,
2015-07-15,816.60,Business Services,MATRIX SCM LTD,,
2015-09-23,1007.14,Business Services,MATRIX SCM LTD,,
2015-07-15,959.51,Business Services,MATRIX SCM LTD,,
2015-07-22,816.60,Business Services,MATRIX SCM LTD,,
2015-09-23,1007.14,Business Services,MATRIX SCM LTD,,
2015-08-26,1007.14,Business Services,MATRIX SCM LTD,,
2015-09-30,1007.14,Business Services,MATRIX SCM LTD,,
2015-08-26,1007.14,Business Services,MATRIX SCM LTD,,
2015-08-05,1143.24,Business Services,MATRIX SCM LTD,,
2015-08-19,1007.14,Business Services,MATRIX SCM LTD,,
2015-07-22,816.60,Business Services,MATRIX SCM LTD,,
2015-08-12,816.60,Business Services,MATRIX SCM LTD,,
2015-08-19,1007.14,Business Services,MATRIX SCM LTD,,
2015-08-12,1007.14,Business Services,MATRIX SCM LTD,,
2015-08-19,1061.58,Business Services,MATRIX SCM LTD,,
2015-07-22,1007.14,Business Services,MATRIX SCM LTD,,
2015-08-26,1007.14,Business Services,MATRIX SCM LTD,,
2015-09-30,1007.14,Business Services,MATRIX SCM LTD,,
2015-09-30,1007.14,Business Services,MATRIX SCM LTD,,
2015-07-29,1007.14,Business Services,MATRIX SCM LTD,,
2015-08-26,1007.14,Business Services,MATRIX SCM LTD,,
2015-07-29,871.04,Business Services,MATRIX SCM LTD,,
2015-07-29,816.60,Business Services,MATRIX SCM LTD,,
2015-09-16,1007.14,Business Services,MATRIX SCM LTD,,
2015-09-16,1007.14,Business Services,MATRIX SCM LTD,,
2015-08-19,1007.14,Business Services,MATRIX SCM LTD,,
2015-08-05,1083.72,Business Services,MATRIX SCM LTD,,
2015-08-05,1083.72,Business Services,MATRIX SCM LTD,,
2015-09-02,1083.72,Business Services,MATRIX SCM LTD,,
2015-09-02,1132.98,Business Services,MATRIX SCM LTD,,
2015-08-19,1083.72,Business Services,MATRIX SCM LTD,,
2015-09-23,1083.72,Business Services,MATRIX SCM LTD,,
2015-07-22,1083.72,Business Services,MATRIX SCM LTD,,
2015-09-23,1280.76,Business Services,MATRIX SCM LTD,,
2015-09-23,1132.98,Business Services,MATRIX SCM LTD,,
2015-07-22,1083.72,Business Services,MATRIX SCM LTD,,
2015-07-15,1132.98,Business Services,MATRIX SCM LTD,,
2015-07-15,1132.98,Business Services,MATRIX SCM LTD,,
2015-08-12,1083.72,Business Services,MATRIX SCM LTD,,
2015-09-02,1083.72,Business Services,MATRIX SCM LTD,,
2015-07-22,1020.75,Business Services,MATRIX SCM LTD,,
2015-09-16,966.31,Business Services,MATRIX SCM LTD,,
2015-09-09,748.55,Business Services,MATRIX SCM LTD,,
2015-09-23,979.94,Business Services,MATRIX SCM LTD,,
2015-08-19,748.55,Business Services,MATRIX SCM LTD,,
2015-08-26,884.65,Business Services,MATRIX SCM LTD,,
2015-09-02,1007.14,Business Services,MATRIX SCM LTD,,
2015-08-12,966.31,Business Services,MATRIX SCM LTD,,
2015-08-05,979.92,Business Services,MATRIX SCM LTD,,
2015-07-29,1007.14,Business Services,MATRIX SCM LTD,,
2015-07-15,952.70,Business Services,MATRIX SCM LTD,,
2015-08-12,1007.14,Business Services,MATRIX SCM LTD,,
2015-08-05,802.99,Business Services,MATRIX SCM LTD,,
2015-08-26,1007.14,Business Services,MATRIX SCM LTD,,
2015-08-19,734.94,Business Services,MATRIX SCM LTD,,
2015-09-23,1007.14,Business Services,MATRIX SCM LTD,,
2015-09-09,816.60,Business Services,MATRIX SCM LTD,,
2015-09-16,1007.14,Business Services,MATRIX SCM LTD,,
2015-09-16,1007.14,Business Services,MATRIX SCM LTD,,
2015-09-30,816.60,Business Services,MATRIX SCM LTD,,
2015-07-15,1007.14,Business Services,MATRIX SCM LTD,,
2015-07-22,966.31,Business Services,MATRIX SCM LTD,,
2015-09-09,707.72,Business Services,MATRIX SCM LTD,,
2015-08-05,984.94,Business Services,MATRIX SCM LTD,,
2015-07-08,598.95,Business Services,MATRIX SCM LTD,,
2015-07-29,798.60,Business Services,MATRIX SCM LTD,,
2015-07-22,984.94,Business Services,MATRIX SCM LTD,,
2015-07-08,984.94,Business Services,MATRIX SCM LTD,,
2015-07-22,984.94,Business Services,MATRIX SCM LTD,,
2015-09-09,785.29,Business Services,MATRIX SCM LTD,,
2015-07-29,984.94,Business Services,MATRIX SCM LTD,,
2015-07-22,984.94,Business Services,MATRIX SCM LTD,,
2015-08-12,984.94,Business Services,MATRIX SCM LTD,,
2015-07-22,905.08,Business Services,MATRIX SCM LTD,,
2015-07-08,984.94,Business Services,MATRIX SCM LTD,,
2015-09-23,984.94,Business Services,MATRIX SCM LTD,,
2015-09-16,984.94,Business Services,MATRIX SCM LTD,,
2015-09-30,984.94,Business Services,MATRIX SCM LTD,,
2015-09-02,984.94,Business Services,MATRIX SCM LTD,,
2015-08-19,984.94,Business Services,MATRIX SCM LTD,,
2015-08-05,984.94,Business Services,MATRIX SCM LTD,,
2015-07-29,804.83,Business Services,MATRIX SCM LTD,,
2015-09-09,817.61,Business Services,MATRIX SCM LTD,,
2015-07-29,816.60,Business Services,MATRIX SCM LTD,,
2015-09-09,816.60,Business Services,MATRIX SCM LTD,,
2015-09-16,779.28,Business Services,MATRIX SCM LTD,,
2015-08-12,798.44,Business Services,MATRIX SCM LTD,,
2015-08-12,680.50,Business Services,MATRIX SCM LTD,,
2015-09-30,600.43,Business Services,MATRIX SCM LTD,,
2015-07-22,779.28,Business Services,MATRIX SCM LTD,,
2015-08-26,600.43,Business Services,MATRIX SCM LTD,,
2015-08-19,817.61,Business Services,MATRIX SCM LTD,,
2015-07-08,816.60,Business Services,MATRIX SCM LTD,,
2015-07-08,804.83,Business Services,MATRIX SCM LTD,,
2015-07-08,816.60,Business Services,MATRIX SCM LTD,,
2015-09-30,871.04,Business Services,MATRIX SCM LTD,,
2015-09-30,816.60,Business Services,MATRIX SCM LTD,,
2015-08-05,811.21,Business Services,MATRIX SCM LTD,,
2015-07-22,702.63,Business Services,MATRIX SCM LTD,,
2015-08-12,612.45,Business Services,MATRIX SCM LTD,,
2015-07-22,816.60,Business Services,MATRIX SCM LTD,,
2015-08-19,680.50,Business Services,MATRIX SCM LTD,,
2015-08-26,816.60,Business Services,MATRIX SCM LTD,,
2015-07-22,816.60,Business Services,MATRIX SCM LTD,,
2015-07-29,1092.63,Business Services,MATRIX SCM LTD,,
2015-09-23,1047.60,Business Services,MATRIX SCM LTD,,
2015-09-02,871.15,Business Services,MATRIX SCM LTD,,
2015-07-29,841.34,Business Services,MATRIX SCM LTD,,
2015-09-09,885.92,Business Services,MATRIX SCM LTD,,
2015-07-22,1092.63,Business Services,MATRIX SCM LTD,,
2015-09-09,966.31,Business Services,MATRIX SCM LTD,,
2015-08-26,649.67,Business Services,MATRIX SCM LTD,,
2015-07-29,1162.65,Business Services,MATRIX SCM LTD,,
2015-09-09,802.99,Business Services,MATRIX SCM LTD,,
2015-07-22,1112.28,Business Services,MATRIX SCM LTD,,
2015-09-09,885.90,Business Services,MATRIX SCM LTD,,
2015-08-12,1092.63,Business Services,MATRIX SCM LTD,,
2015-08-26,1040.98,Business Services,MATRIX SCM LTD,,
2015-07-22,1246.90,Business Services,MATRIX SCM LTD,,
2015-08-12,1292.04,Business Services,MATRIX SCM LTD,,
2015-07-08,994.15,Business Services,MATRIX SCM LTD,,
2015-09-30,1292.04,Business Services,MATRIX SCM LTD,,
2015-08-12,1092.63,Business Services,MATRIX SCM LTD,,
2015-09-23,1007.14,Business Services,MATRIX SCM LTD,,
2015-09-02,1292.04,Business Services,MATRIX SCM LTD,,
2015-09-23,1048.34,Business Services,MATRIX SCM LTD,,
2015-09-23,1007.14,Business Services,MATRIX SCM LTD,,
2015-09-02,1085.05,Business Services,MATRIX SCM LTD,,
2015-09-30,634.91,Business Services,MATRIX SCM LTD,,
2015-08-12,1055.24,Business Services,MATRIX SCM LTD,,
2015-09-30,1092.63,Business Services,MATRIX SCM LTD,,
2015-08-12,1055.24,Business Services,MATRIX SCM LTD,,
2015-09-09,1082.52,Business Services,MATRIX SCM LTD,,
2015-08-19,598.84,Business Services,MATRIX SCM LTD,,
2015-08-19,885.92,Business Services,MATRIX SCM LTD,,
2015-07-15,1112.28,Business Services,MATRIX SCM LTD,,
2015-08-26,1007.14,Business Services,MATRIX SCM LTD,,
2015-07-15,1196.35,Business Services,MATRIX SCM LTD,,
2015-09-16,1033.57,Business Services,MATRIX SCM LTD,,
2015-07-15,1092.63,Business Services,MATRIX SCM LTD,,
2015-09-16,1122.16,Business Services,MATRIX SCM LTD,,
2015-08-19,1055.24,Business Services,MATRIX SCM LTD,,
2015-07-08,1055.24,Business Services,MATRIX SCM LTD,,
2015-09-16,1292.04,Business Services,MATRIX SCM LTD,,
2015-08-26,1007.14,Business Services,MATRIX SCM LTD,,
2015-08-26,1292.04,Business Services,MATRIX SCM LTD,,
2015-08-12,1264.59,Business Services,MATRIX SCM LTD,,
2015-07-08,1092.63,Business Services,MATRIX SCM LTD,,
2015-09-30,1107.40,Business Services,MATRIX SCM LTD,,
2015-08-26,1007.14,Business Services,MATRIX SCM LTD,,
2015-09-02,1007.14,Business Services,MATRIX SCM LTD,,
2015-08-05,1007.14,Business Services,MATRIX SCM LTD,,
2015-08-26,1007.14,Business Services,MATRIX SCM LTD,,
2015-09-16,1007.14,Business Services,MATRIX SCM LTD,,
2015-07-22,816.60,Business Services,MATRIX SCM LTD,,
2015-09-09,816.60,Business Services,MATRIX SCM LTD,,
2015-09-23,1007.14,Business Services,MATRIX SCM LTD,,
2015-08-12,1007.14,Business Services,MATRIX SCM LTD,,
2015-07-29,802.99,Business Services,MATRIX SCM LTD,,
2015-07-08,1007.14,Business Services,MATRIX SCM LTD,,
2015-07-15,830.21,Business Services,MATRIX SCM LTD,,
2015-08-18,529.35,Business Services,PIERS MEADOWS RECRUITMENT LTD,,
2015-08-18,763.83,Business Services,PIERS MEADOWS RECRUITMENT LTD,,
2015-07-27,771.75,Business Services,PIERS MEADOWS RECRUITMENT LTD,,
2015-07-01,778.28,Business Services,PIERS MEADOWS RECRUITMENT LTD,,
2015-07-16,778.28,Business Services,PIERS MEADOWS RECRUITMENT LTD,,
2015-07-09,778.50,Business Services,PIERS MEADOWS RECRUITMENT LTD,,
2015-08-04,783.90,Business Services,PIERS MEADOWS RECRUITMENT LTD,,
2015-07-22,788.40,Business Services,PIERS MEADOWS RECRUITMENT LTD,,
2015-09-01,4951.86,ICT,NORTHGATE PUBLIC SERVICES (UK) LTD,,
2015-09-01,23775.91,ICT,NORTHGATE PUBLIC SERVICES (UK) LTD,,
2015-07-13,32220.70,ICT,NORTHGATE PUBLIC SERVICES (UK) LTD,,
2015-09-24,26629.56,ICT,NORTHGATE PUBLIC SERVICES (UK) LTD,,
2015-07-15,540.00,Business Services,MATRIX SCM LTD,,
2015-07-29,540.00,Business Services,MATRIX SCM LTD,,
2015-08-05,540.00,Business Services,MATRIX SCM LTD,,
2015-08-19,540.00,Business Services,MATRIX SCM LTD,,
